ngo_description,category,urgency_level
"Issue with unhygienic conditions causing medical risk, needs attention soon pls fix",medical,Medium
Requires immediate response: c0nstruct10n d3br1s bl0ck1ng 3vacuat10n r0ut3 1n Indapur,shelter,Critical
Fire broke out in Bhusawal and fire brigade took too long to arrive pls fix,disaster relief,Critical
Porta-potties overflowing at disaster relief site in Osmanabad and it has been like this for days,hygiene,High
Pls cholera symptoms reported in 20 residents of Udgir camp,medical,Critical
Dropout rate rising among migrant children in Nashik Road,education,Critical
Critical alert: no blankets or mats provided to flood survivors is creating inconvenience,shelter,Critical
Elderly flood survivor needs mobility assistance in Risod,elderly support,Critical
NDRF team not reachable for flood-hit locality in Akot pls fix,disaster relief,Critical
Life threatening: w0m3n and ch1ldr3n unsaf3 1n 0p3n camp at n1ght 1n Akkalk0t,shelter,Critical
"SOS: no chalk, blackboard or stationery at makeshift school in Balapur camp",education,Critical
"Reporting unclean streets, low priority concern",hygiene,Low
"Injured flood survivors not getting wound care, needs attention soon",medical,Medium
Dangerous situation: wheelchair-bound senior unable to access relief services in Kalyan the whole neighborhood is complaining,elderly support,Critical
Just informing garbage piling up pls fix,hygiene,Low
Immediate action needed: volunteer teachers needed urgently at relief camp school the whole neighborhood is complaining,education,High
Just informing roof of shelter in Latur Camp collapsed after heavy rain,shelter,Low
"Issue with muddy water, needs attention soon",food,Medium
Requires immediate response: diabetic patients not receiving appropriate diet support,food,Critical
Critical alert: helpline operators in Miraj not responding despite multiple calls,disaster relief,Critical
Kindly address oxygen cylinder shortage reported at health post in Ozar pls fix,medical,Medium
flash flood in andheri west caught residents off guard with no prior alert,disaster relief,Low
R00f 0f sh3lt3r 1n Bhusawal c0llaps3d aft3r h3avy ra1n,shelter,Low
Critical alert: community kitchen shut down due to lack of funds,food,Critical
Dangerous situation: temporary shelters not waterproof causing distress in Buldhana,shelter,Critical
Pls abandoned elderly person in Nagbhid needs immediate care,elderly support,Medium
Kindly address food vouchers not accepted at local shops near Goregaon,food,Medium
Senior residents facing cold nights without blankets in Malegaon the whole neighborhood is complaining,elderly support,High
Ration shop in Kondhwa not opening despite government orders,food,High
Alert: homeless individuals with no access to relief shelters in Kondhwa is creating inconvenience,shelter,High
No temporary learning centres set up after disaster,education,Low
Escalating: nDRF team not reachable for flood-hit locality in Jogeshwari and it has been like this for days,disaster relief,High
Ongoing issue with power failure during disaster affecting families,disaster relief,High
Critical alert: toilets at Washim camp not cleaned for 2 days and it has been like this for days,hygiene,Critical
Food stock expired at distribution point in Wani and it has been like this for days,food,Critical
Serious issue: books and school materials lost to flooding in Nagpur West,education,High
Please escalate: dirty drainage blocking road and causing stench in Murbad the whole neighborhood is complaining,hygiene,High
"Dangerous situation: power lines down in Islampur after cyclone, 20 families affected and it has been like this for days",disaster relief,Critical
Issue with senior citizens in camp not receiving food or medicine pls fix,elderly support,Medium
Kindly address boats and rescue equipment not prepositioned near Chandrapur City before cyclone is creating inconvenience,disaster relief,Medium
SOS: relief camp in Chiplun overcrowded with 200 families,shelter,Critical
High priority: sh0rtag3 0f m3d1c1n3s at Mangrulp1r PHC caus1ng d1str3ss,medical,High
Need to address overflowing waste near shelter camp and it has been like this for days. danger attention is needed.,hygiene,High
Requires immediate response: pls relief trucks not reaching Bhusawal due to damaged roads,food,Critical
Follow up needed on children falling ill due to poor sanitation in Cidco camp the whole neighborhood is complaining,hygiene,Medium
Serious issue: pls injured flood survivors not getting wound care,medical,High
Just informing emergency food and water yet to reach 30 households in Nagbhid and it has been like this for days,disaster relief,Low
Garbage uncollected in Pen for 8 days,hygiene,High
Critical alert: no digital access for students during recovery period in Shahapur pls fix,education,Critical
Critical alert: damaged bridge cutting off Parli from emergency relief,shelter,Critical
Pregnant women not receiving nutritional support at relief camp and it has been like this for days,food,Medium
Life threatening: no tarpaulins provided to flood survivors,shelter,Critical
"Issue with no water supply, needs attention soon",food,Medium
Dirty water stagnation not urgent but should be fixed,medical,Critical
Snake bite cases increasing with no antivenom available,medical,Critical
"No chalk, blackboard or stationery at makeshift school in Bibwewadi camp, needs attention soon",education,Low
SOS: rental support not disbursed to 30 families in Udgir,shelter,Critical
Rat infestation in Baramati due to uncleared garbage,hygiene,High
Critical alert: pls senior citizens in Kurkheda not transported to hospital despite requests,elderly support,Critical
"Elderly woman in Pune Camp surviving only on biscuits, no proper meals",elderly support,Critical
"Issue with garbage pilin up, needs attention soon",hygiene,Medium
Pls infant formula shortage reported at relief centre,food,Medium
Minor concern: old woman in Murbad collapsed due to lack of food and support is creating inconvenience,elderly support,Low
Serious issue: sk1n d1s3as3 spr3ad1ng am0ng r3l13f camp r3s1d3nts,medical,High
No special care provided to elderly at relief camp,elderly support,High
"Pls issue with power outage leaving disaster-affected families in dark, needs attention soon",disaster relief,Medium
"Just informing dirty drainage blocking road and causing stench in Karad, needs attention soon",hygiene,Low
"There is an issue with damaged road blocking access to shelters, needs to be fixed soon",shelter,Medium
"Pls flood warning ignored in Cidco, families now stranded",disaster relief,High
Life threatening: boats and rescue equipment not prepositioned near Tirora before cyclone,disaster relief,Critical
Please escalate: no cooking fuel available for families at Beed City shelter,food,High
no ambulance available in khopoli for emergency cases,medical,Critical
Alert: children not enrolled due to lack of documents in Roha the whole neighborhood is complaining,education,High
Ch1ld vacc1nat10n dr1v3 canc3ll3d du3 t0 fl00ds,medical,Medium
Elderly residents isolated in affected area need daily care,elderly support,High
Dangerous situation: elderly flood survivor needs mobility assistance in Bhiwandi,elderly support,Critical
Pr3gnant w0man unabl3 t0 r3ach h0sp1tal du3 t0 fl00ds,medical,Critical
Urgent: dialysis patients unable to access treatment centres the whole neighborhood is complaining,medical,High
